№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9421029,Новое,RISK_SHORT,2024-06-26 10:36:24,240203.406,793-mmq-hzfy-rxlgs,94477-mink-uzsonp-qgmitpzp,5027
9421031,Новое,RISK_SHORT,2024-06-26 10:36:25,131161.9626,566-fhu-detp-wunvo,84252-uque-zcvved-ceehgozp,7721
9421033,Новое,RISK_SHORT,2024-06-26 10:36:25,67730.7762,215-xos-owgq-ayrcn,12327-thft-sbahcz-faeosplv,7728
9421034,Новое,RISK_SHORT,2024-06-26 10:36:25,506389.2174,878-rlu-wnsz-hhcgc,98014-ewnk-ysisha-jtbiwowl,300
9421035,Новое,RISK_SHORT,2024-06-26 10:36:26,6405.5862,531-lsc-tnxx-cayfr,78870-cxrf-susvsu-qffuijrx,6193
9421036,Новое,RISK_SHORT,2024-06-26 10:36:26,14779.6566,393-bng-oykj-agdbs,73332-alyp-tqbjun-niigptei,3460
9421037,Новое,RISK_SHORT,2024-06-26 10:36:26,8260.1604,203-gou-zgwy-tfmya,23756-duxr-smvqft-zcfdopxd,800
9421039,Новое,RISK_SHORT,2024-06-26 10:36:27,342831.6246,513-tmi-lbus-iypch,20088-pcgt-nmzuff-cwcdmubk,7733
9421040,Новое,RISK_SHORT,2024-06-26 10:36:27,34204.0128,966-ixk-xncs-bzqou,29879-txbq-lkytdb-aogahmpp,5018
9421042,Новое,RISK_SHORT,2024-06-26 10:36:28,246461.0676,146-gjr-ijwn-yfmfo,94477-mink-uzsonp-qgmitpzp,5027
9421046,Новое,RISK_SHORT,2024-06-26 10:36:29,5765.4294,650-nak-fxxf-kfueq,30322-orpo-hogoqp-jduvytbx,8603
9421047,Новое,RISK_SHORT,2024-06-26 10:36:29,146661.1206,559-nrs-dayo-kfndj,94729-luzy-djpbgb-belopkrz,6200
9421049,Новое,RISK_SHORT,2024-06-26 10:36:30,2458911.5874,888-vle-wcku-ovipq,60553-ktuc-ptndqk-sunlskkx,800
9421050,Новое,RISK_SHORT,2024-06-26 10:36:30,13719.1146,832-lgj-gpki-qwdai,72368-veft-hstzdd-vbexjjji,5614
9421051,Новое,RISK_SHORT,2024-06-26 10:36:30,33025.6524,865-kuu-nzcx-xwnty,21237-usqn-lclhub-yrftbxla,7804
9421052,Новое,RISK_SHORT,2024-06-26 10:36:30,36654.6918,709-qmw-ckqu-takxh,55443-tskr-xctdcj-bwxnrgkg,1686
9421054,Новое,RISK_SHORT,2024-06-26 10:36:31,165716.8758,674-rer-nepq-kzgmy,45427-ydut-gtswob-gmbvclpe,5024
9421055,Новое,RISK_SHORT,2024-06-26 10:36:31,39331.8408,570-hik-cmks-rzsya,67560-ssdp-atdlkc-xfwsjbng,5027
9421056,Новое,RISK_SHORT,2024-06-26 10:36:32,189277.431,520-exo-lnwd-emccm,40325-tuhy-qqcujp-dcibfcbl,3812
9421058,Новое,RISK_SHORT,2024-06-26 10:36:32,86433.2454,703-ogp-lubs-uylae,84725-ywzo-dwypzb-dkqyibvy,7727
